Dataset,Scope,geometry,outcome,pearson,spearman,n
cs_dialogue,global,cos_raw_cond,Raw-PIER-gain,0.7883051668127876,0.39999999999999997,4
cs_dialogue,global,cos_raw_cond,Cond-PIER-gain,0.9563358357738111,0.7999999999999999,4
cs_dialogue,global,cos_raw_cond,Raw-Matrix-Ret,0.02301017944539544,-0.19999999999999998,4
cs_dialogue,global,cos_raw_cond,Cond-Matrix-Ret,-0.8505103121362932,-1.0,4
cs_dialogue,global,cos_raw_cond,Raw-Outside,-0.043182643579017334,0.19999999999999998,4
cs_dialogue,global,cos_raw_cond,Cond-Outside,0.847018731928954,1.0,4
cs_dialogue,global,angle_deg,Raw-PIER-gain,-0.7879206618974807,-0.39999999999999997,4
cs_dialogue,global,angle_deg,Cond-PIER-gain,-0.9565008838446412,-0.7999999999999999,4
cs_dialogue,global,angle_deg,Raw-Matrix-Ret,-0.02399515947074576,0.19999999999999998,4
cs_dialogue,global,angle_deg,Cond-Matrix-Ret,0.8511279132547166,1.0,4
cs_dialogue,global,angle_deg,Raw-Outside,0.044167570847535156,-0.19999999999999998,4
cs_dialogue,global,angle_deg,Cond-Outside,-0.8476424987714901,-1.0,4
cs_dialogue,global,unit_l2,Raw-PIER-gain,-0.7790884124266514,-0.39999999999999997,4
cs_dialogue,global,unit_l2,Cond-PIER-gain,-0.9577007746504326,-0.7999999999999999,4
cs_dialogue,global,unit_l2,Raw-Matrix-Ret,-0.04241244715901552,0.19999999999999998,4
cs_dialogue,global,unit_l2,Cond-Matrix-Ret,0.861153616408623,1.0,4
cs_dialogue,global,unit_l2,Raw-Outside,0.06257435550110003,-0.19999999999999998,4
cs_dialogue,global,unit_l2,Cond-Outside,-0.8577837509658145,-1.0,4
cs_dialogue,oracle_local,cos_raw_cond,Raw-PIER-gain,0.5443942364410604,0.39999999999999997,4
cs_dialogue,oracle_local,cos_raw_cond,Cond-PIER-gain,0.8996813316490605,0.7999999999999999,4
cs_dialogue,oracle_local,cos_raw_cond,Raw-Matrix-Ret,0.23404407245342917,0.19999999999999998,4
cs_dialogue,oracle_local,cos_raw_cond,Cond-Matrix-Ret,-0.8746309182492499,-1.0,4
cs_dialogue,oracle_local,cos_raw_cond,Raw-Outside,-0.7321271004414555,-0.39999999999999997,4
cs_dialogue,oracle_local,cos_raw_cond,Cond-Outside,0.8521768109966628,0.7999999999999999,4
cs_dialogue,oracle_local,angle_deg,Raw-PIER-gain,-0.5440501432848188,-0.39999999999999997,4
cs_dialogue,oracle_local,angle_deg,Cond-PIER-gain,-0.900197941703975,-0.7999999999999999,4
cs_dialogue,oracle_local,angle_deg,Raw-Matrix-Ret,-0.23340371086635864,-0.19999999999999998,4
cs_dialogue,oracle_local,angle_deg,Cond-Matrix-Ret,0.8751835331753837,1.0,4
