Dataset,Layer,Scope,rho,MER,PIER,Matrix-CER,Corr,Corrupt,Outside,Matrix-Ret,PIER-gain,MER-gain
cs_dialogue,24,global,0.25,0.2847383116497356,0.5052910052910053,0.24624086080838736,32,112,349,0.9752008986433941,-0.035273368606701994,-0.022277668864729983
cs_dialogue,24,global,0.5,0.2907384304639696,0.5458553791887125,0.24686163608773623,39,211,703,0.9518707336040785,-0.07583774250440917,-0.02827778767896394
cs_dialogue,24,global,1.0,0.41062199251470327,0.6869488536155203,0.3638432887294799,58,550,2419,0.8261470664477664,-0.21693121693121692,-0.14816134972969763
cs_dialogue,24,oracle_local,0.25,0.26341115665656745,0.47663139329806,0.22623810180714582,16,31,75,0.9948155188801521,-0.006613756613756627,-0.0009505138715618089
cs_dialogue,24,oracle_local,0.5,0.26109427909463556,0.49603174603174605,0.2205131742309284,27,86,189,0.9891989976669835,-0.026014109347442693,0.001366363690370076
cs_dialogue,24,oracle_local,1.0,0.283609576427256,0.5559964726631393,0.23617050627672784,55,250,509,0.9711397217661799,-0.08597883597883599,-0.021148933642250345
cs_dialogue,26,global,0.25,0.2755896156359532,0.48192239858906527,0.23955028279762725,32,59,466,0.9634494081050722,-0.011904761904761918,-0.013128972850947551
cs_dialogue,26,global,0.5,0.29145131586764095,0.5004409171075838,0.2550696647813491,75,144,1083,0.9152337336904864,-0.030423280423280408,-0.02899067308263531
cs_dialogue,26,global,1.0,0.5968038971068734,0.5123456790123457,0.5863567388605325,186,282,4792,0.6055473947982373,-0.04232804232804238,-0.3343432543218678
cs_dialogue,26,oracle_local,0.25,0.26881720430107525,0.4801587301587302,0.23196302938336322,17,40,113,0.9923096863388923,-0.010141093474426821,-0.006356561516069614
cs_dialogue,26,oracle_local,0.5,0.2601437652230737,0.4708994708994709,0.22327217547247896,44,46,255,0.980385379763242,-0.0008818342151675207,0.0023168775619319404
cs_dialogue,26,oracle_local,1.0,0.2835501693102834,0.46164021164021163,0.24293005931852668,134,115,583,0.9575736628359112,0.008377425044091724,-0.021089526525277735
cs_dialogue,27,global,0.25,0.2826590625556942,0.5044091710758377,0.2442405849082632,24,102,454,0.9674241769636223,-0.03439153439153436,-0.020198419770688536
cs_dialogue,27,global,0.5,0.2805204063446801,0.4792768959435626,0.24555111049799971,81,102,705,0.9461678043722458,-0.009259259259259245,-0.01805976355967448
cs_dialogue,27,global,1.0,0.8840967147864314,0.6516754850088183,0.8134225410401434,200,612,7745,0.37397390477836345,-0.18165784832451498,-0.6216360720014258
cs_dialogue,27,oracle_local,0.25,0.25806451612903225,0.4929453262786596,0.21747827286522278,18,70,110,0.9950747429361445,-0.02292768959435626,0.004396126655973387
cs_dialogue,27,oracle_local,0.5,0.2591338442345393,0.4678130511463845,0.2225824251620913,51,46,157,0.9891125896483194,0.0022045855379188573,0.003326798550466359
cs_dialogue,27,oracle_local,1.0,0.292520643973148,0.43871252204585537,0.260656642295489,189,118,691,0.9472911086148794,0.031305114638447984,-0.030060001188142338
cs_dialogue,31,global,0.25,0.2719063743836512,0.34523809523809523,0.2438957097530694,305,22,659,0.9445260520176272,0.12477954144620812,-0.009445731598645535
cs_dialogue,31,global,0.5,1.1233885819521179,0.4144620811287478,0.7896261553317699,459,333,8720,0.26829689795212996,0.05555555555555558,-0.8609279391671123
cs_dialogue,31,global,1.0,2.9288302738668093,0.8373015873015873,0.9837908677058904,154,987,12070,0.023675797113972177,-0.36728395061728397,-2.6663696310818037
cs_dialogue,31,oracle_local,0.25,0.24422265787441336,0.3990299823633157,0.21596082218236998,178,17,204,0.9830640283418302,0.07098765432098764,0.01823798491059228
cs_dialogue,31,oracle_local,0.5,0.28883740272084596,0.31084656084656087,0.2666574699958615,395,34,889,0.9248250237622051,0.15917107583774248,-0.02637675993584032
cs_dialogue,31,oracle_local,1.0,0.9680983781857067,0.5432098765432098,0.4516485032418265,256,422,3606,0.71727296293096,-0.0731922398589065,-0.7056377354007011
seame_dev_man,24,global,0.25,0.36963350785340315,0.7171717171717171,0.3227699530516432,0,3,,0.9877112135176651,-0.030303030303030276,-0.005235602094240843
seame_dev_man,24,global,0.5,0.4607329842931937,0.7777777777777778,0.41901408450704225,0,9,,0.9400921658986175,-0.09090909090909094,-0.0963350785340314
seame_dev_man,24,global,1.0,0.4324607329842932,0.8585858585858586,0.3767605633802817,0,17,,0.9062980030721967,-0.1717171717171717,-0.0680628272251309
seame_dev_man,24,oracle_local,0.25,0.36544502617801045,0.6868686868686869,0.3215962441314554,0,0,,0.9984639016897081,0.0,-0.0010471204188481353
seame_dev_man,24,oracle_local,0.5,0.3633507853403141,0.6767676767676768,0.3204225352112676,3,2,,0.9969278033794163,0.010101010101010055,0.0010471204188481908
seame_dev_man,24,oracle_local,1.0,0.36544502617801045,0.7272727272727273,0.3192488262910798,0,4,,0.9984639016897081,-0.04040404040404044,-0.0010471204188481353
seame_dev_man,26,global,0.25,0.3643979057591623,0.6868686868686869,0.3204225352112676,1,1,,0.978494623655914,0.0,0.0
seame_dev_man,26,global,0.5,0.39895287958115183,0.7070707070707071,0.357981220657277,2,4,,0.9278033794162827,-0.02020202020202022,-0.03455497382198952
seame_dev_man,26,global,1.0,0.8157068062827225,0.7373737373737373,0.8215962441314554,7,12,,0.7373271889400922,-0.0505050505050505,-0.4513089005235602
seame_dev_man,26,oracle_local,0.25,0.36649214659685864,0.6868686868686869,0.3227699530516432,0,0,,0.9984639016897081,0.0,-0.002094240837696326
seame_dev_man,26,oracle_local,0.5,0.36649214659685864,0.7070707070707071,0.3204225352112676,0,2,,0.9984639016897081,-0.02020202020202022,-0.002094240837696326
seame_dev_man,26,oracle_local,1.0,0.3549738219895288,0.6565656565656566,0.31338028169014087,8,5,,0.989247311827957,0.030303030303030276,0.009424083769633496
seame_dev_man,27,global,0.25,0.3738219895287958,0.6868686868686869,0.33098591549295775,1,1,,0.9662058371735791,0.0,-0.009424083769633496
seame_dev_man,27,global,0.5,0.37591623036649213,0.696969696969697,0.33215962441314556,2,3,,0.9554531490015361,-0.010101010101010166,-0.011518324607329822
seame_dev_man,27,global,1.0,0.9979057591623036,0.6464646464646465,0.926056338028169,13,9,,0.5990783410138248,0.04040404040404033,-0.6335078534031413
seame_dev_man,27,oracle_local,0.25,0.3675392670157068,0.696969696969697,0.3227699530516432,0,1,,0.9969278033794163,-0.010101010101010166,-0.003141361256544517
seame_dev_man,27,oracle_local,0.5,0.36858638743455496,0.7171717171717171,0.3215962441314554,0,3,,0.9984639016897081,-0.030303030303030276,-0.004188481675392652
seame_dev_man,27,oracle_local,1.0,0.37277486910994767,0.6262626262626263,0.323943661971831,9,3,,0.9877112135176651,0.06060606060606055,-0.00837696335078536
seame_dev_man,31,global,0.25,0.36963350785340315,0.5252525252525253,0.3415492957746479,17,1,,0.9247311827956989,0.16161616161616155,-0.005235602094240843
seame_dev_man,31,global,0.5,2.6,0.696969696969697,0.6795774647887324,13,14,,0.4362519201228879,-0.010101010101010166,-2.235602094240838
seame_dev_man,31,global,1.0,8.890052356020943,0.9696969696969697,0.9624413145539906,2,30,,0.07987711213517665,-0.2828282828282829,-8.525654450261781
seame_dev_man,31,oracle_local,0.25,0.3643979057591623,0.6464646464646465,0.32629107981220656,5,1,,0.9907834101382489,0.04040404040404033,0.0
seame_dev_man,31,oracle_local,0.5,0.562303664921466,0.6565656565656566,0.36502347417840375,5,2,,0.9231950844854071,0.030303030303030276,-0.19790575916230368
seame_dev_man,31,oracle_local,1.0,1.4387434554973821,0.6161616161616161,0.8767605633802817,11,4,,0.869431643625192,0.07070707070707072,-1.07434554973822
seame_dev_sge,24,global,0.25,0.3187571921749137,0.8522727272727273,0.2503242542153048,0,2,,0.9833333333333333,-0.022727272727272707,-0.016110471806674354
seame_dev_sge,24,global,0.5,0.33141542002301494,0.8636363636363636,0.26459143968871596,0,3,,0.96,-0.03409090909090906,-0.028768699654775576
seame_dev_sge,24,global,1.0,0.4016110471806674,0.9090909090909091,0.33722438391699094,0,7,,0.85,-0.07954545454545447,-0.09896432681242806
seame_dev_sge,24,oracle_local,0.25,0.30149597238204834,0.8295454545454546,0.23476005188067445,0,0,,1.0,0.0,0.0011507479861910253
seame_dev_sge,24,oracle_local,0.5,0.30149597238204834,0.8295454545454546,0.23476005188067445,0,0,,0.9933333333333333,0.0,0.0011507479861910253
seame_dev_sge,24,oracle_local,1.0,0.3176064441887227,0.8295454545454546,0.2490272373540856,0,0,,0.985,0.0,-0.014959723820483328
seame_dev_sge,26,global,0.25,0.31645569620253167,0.8181818181818182,0.2529182879377432,2,1,,0.9716666666666667,0.011363636363636354,-0.013808975834292303
seame_dev_sge,26,global,0.5,0.35558112773302647,0.8068181818181818,0.29831387808041504,3,1,,0.92,0.022727272727272818,-0.052934407364787106
seame_dev_sge,26,global,1.0,0.6386651323360184,0.8068181818181818,0.5149156939040207,8,6,,0.7383333333333333,0.022727272727272818,-0.33601841196777904
seame_dev_sge,26,oracle_local,0.25,0.3037974683544304,0.8295454545454546,0.23735408560311283,0,0,,0.9983333333333333,0.0,-0.0011507479861910253
seame_dev_sge,26,oracle_local,0.5,0.3037974683544304,0.8295454545454546,0.23735408560311283,0,0,,0.9983333333333333,0.0,-0.0011507479861910253
seame_dev_sge,26,oracle_local,1.0,0.30609896432681244,0.8295454545454546,0.23865110246433205,0,0,,0.9933333333333333,0.0,-0.0034522439585730758
seame_dev_sge,27,global,0.25,0.32681242807825084,0.8295454545454546,0.26329442282749677,1,1,,0.97,0.0,-0.024165707710011475
seame_dev_sge,27,global,0.5,0.3291139240506329,0.8068181818181818,0.26848249027237353,3,1,,0.9583333333333334,0.022727272727272818,-0.026467203682393525
seame_dev_sge,27,global,1.0,0.7238204833141542,0.9090909090909091,0.5940337224383917,2,9,,0.6116666666666667,-0.07954545454545447,-0.4211737629459148
seame_dev_sge,27,oracle_local,0.25,0.30264672036823936,0.8295454545454546,0.23605706874189364,0,0,,1.0,0.0,0.0
seame_dev_sge,27,oracle_local,0.5,0.30724971231300346,0.8295454545454546,0.24124513618677043,0,0,,0.9933333333333333,0.0,-0.004602991944764101
seame_dev_sge,27,oracle_local,1.0,0.3095512082853855,0.8295454545454546,0.24254215304798962,0,0,,0.985,0.0,-0.0069044879171461515
seame_dev_sge,31,global,0.25,0.3222094361334868,0.7613636363636364,0.2594033722438392,7,1,,0.96,0.06818181818181823,-0.01956271576524743
