Dataset,Direction,Side,Layer,rho,Delta-MER,Delta-PIER,Delta-MatrixRet,Delta-Outside
cs_dialogue,Raw,decoder,0,0.25,-0.0026139131467949883,-0.0030864197530864335,0.003024280653244671,-41.0
cs_dialogue,Raw,decoder,0,0.5,0.008198182142220622,-0.006613756613756572,0.007776721679771836,-101.0
cs_dialogue,Raw,decoder,0,1.0,-0.6362502227766886,-0.20458553791887124,0.3818370344767995,-4766.0
cs_dialogue,Raw,decoder,1,0.5,0.007782332323412355,-0.0044091710758377145,0.010973818370344723,-131.0
cs_dialogue,Raw,decoder,2,0.25,0.013128972850947523,0.002645502645502673,0.0038019528212217546,-46.0
cs_dialogue,Raw,decoder,2,0.5,0.020198419770688508,-0.0026455026455026176,0.011924306575650245,-144.0
cs_dialogue,Raw,decoder,2,1.0,-0.6297154399097011,-0.21472663139329806,0.4315216452086753,-5371.0
cs_dialogue,Raw,decoder,3,0.5,0.006713004217905327,-0.008818342151675485,0.012874794780955656,-162.0
cs_dialogue,Raw,decoder,4,0.5,0.015445850412879464,-0.008818342151675485,0.004493216970534952,-71.0
cs_dialogue,Raw,decoder,5,0.5,0.016277550050496026,-0.005291005291005291,0.004925257063855493,-80.0
cs_dialogue,Raw,decoder,6,0.5,-0.0055248618784530246,-0.019841269841269882,0.019528212218093755,-258.0
cs_dialogue,Raw,decoder,7,0.5,0.013604229786728428,-0.007936507936507964,0.00915924997839801,-129.0
cs_dialogue,Raw,decoder,8,0.5,0.02518861759638802,0.0044091710758377145,0.003974768858550082,-53.0
cs_dialogue,Raw,decoder,9,0.5,0.0240004752569358,0.011904761904761918,-0.0023330165039315842,16.0
cs_dialogue,Raw,decoder,10,0.5,0.010218024119289487,0.006613756613756572,0.003283504709236995,-57.0
cs_dialogue,Raw,decoder,11,0.5,0.007128854036713594,0.003527336860670194,0.005616521213168579,-86.0
cs_dialogue,Raw,decoder,12,0.5,0.019129091665181508,0.01807760141093473,0.0,-14.0
cs_dialogue,Raw,decoder,13,0.5,0.009208103130755069,0.0013227513227513366,0.005184481119847928,-82.0
cs_dialogue,Raw,decoder,14,0.5,0.014614150775262874,0.026455026455026454,0.00509807310118382,-60.0
cs_dialogue,Raw,decoder,15,0.5,0.015327036178934217,0.025573192239858933,0.0017281603732826056,-32.0
cs_dialogue,Raw,decoder,16,0.5,0.02245589021564784,0.03483245149911812,-0.0016417523546184976,15.0
cs_dialogue,Raw,decoder,17,0.5,0.008435810610111089,0.01675485008818345,0.013479650911604524,-172.0
cs_dialogue,Raw,decoder,18,0.5,0.009445731598645535,0.01807760141093473,0.010282554221031748,-140.0
cs_dialogue,Raw,decoder,19,0.5,-0.000653478286698761,0.007495590828924148,0.019009764106109106,-249.0
cs_dialogue,Raw,decoder,20,0.5,-0.006950632685795766,0.010141093474426821,0.02583599758057553,-314.0
cs_dialogue,Raw,decoder,21,0.5,0.0,0.014109347442680775,0.04363604942538668,-529.0
cs_dialogue,Raw,decoder,22,0.5,-0.06130814471573698,0.03218694885361556,0.07966819320832974,-946.0
cs_dialogue,Raw,decoder,23,0.5,-0.03493138477989666,0.04056437389770723,0.05901667674760214,-700.0
cs_dialogue,Raw,decoder,24,0.25,0.0018416206261510082,0.014991181657848296,0.030674846625766916,-373.0
