Dataset,Side,Layer,Scope,rho,MER,PIER,EN-WER,Matrix-CER,Corr,Corrupt,Outside,Matrix-Ret,Edited,Energy,FractionEdited,PIER-gain,MER-gain,Matrix-CER-gain
cs_dialogue,decoder,0,global,0.25,0.25687637378958,0.4731040564373898,0.47663139329806,0.21920264864119188,11,18,68,0.9949019268988162,13482,7352.940903604031,,-0.0030864197530864335,0.005584268995425634,0.006897503103876407
cs_dialogue,decoder,0,global,1.0,0.9542565199310877,0.8871252204585538,0.91005291005291,0.9610291074630983,8,954,5482,0.5891298712520522,22864,41236.938557744026,,-0.41710758377425045,-0.6917958771460821,-0.7349289557180301
cs_dialogue,decoder,0,oracle_local,0.25,0.254262460642785,0.47001763668430335,0.47354497354497355,0.21658159746171884,6,6,27,0.9979262075520609,1824,999.7081726491451,,0.0,0.008198182142220622,0.00951855428334944
cs_dialogue,decoder,0,oracle_local,1.0,0.3180062971543991,0.6825396825396826,0.6909171075837742,0.25665609049524074,15,497,716,0.9709669057288517,1785,3056.587485432625,,-0.2125220458553792,-0.05554565436939346,-0.030555938750172457
cs_dialogue,decoder,2,global,0.25,0.24671775678726313,0.4775132275132275,0.4810405643738977,0.2067181680231756,20,37,102,0.9935193986001901,13671,13792.578429877758,,-0.007495590828924148,0.015742885997742512,0.019381983721892676
cs_dialogue,decoder,2,global,1.0,0.9369096417750846,0.8024691358024691,0.8377425044091711,0.9518554283349427,26,780,5971,0.5370258359975806,19772,63749.50146436691,,-0.3324514991181658,-0.674448998990079,-0.7257552765898745
cs_dialogue,decoder,2,oracle_local,0.25,0.25984672963821065,0.4801587301587302,0.48368606701940037,0.22154779969650987,6,29,56,0.9973213514214119,1824,1852.1626015901566,,-0.010141093474426821,0.0026139131467949883,0.004552352048558417
cs_dialogue,decoder,2,oracle_local,1.0,0.3071942018653835,0.5877425044091711,0.5912698412698413,0.2595530417988688,36,303,600,0.9685474812062559,1750,5469.352544546127,,-0.11772486772486773,-0.04473355908037785,-0.033452890053800505
cs_dialogue,encoder,2,global,0.25,0.2381631319432068,0.4678130511463845,0.4704585537918871,0.19851013932956268,50,45,274,0.9790892594832801,245535,1203441.9485473633,1.0,0.0022045855379188573,0.024297510841798847,0.0275900124155056
cs_dialogue,encoder,2,global,1.0,0.8739975049010872,0.677689594356261,1.1256613756613756,0.8303903986756794,55,526,2451,0.8248509461678044,245535,5069328.894287109,1.0,-0.20767195767195762,-0.6115368621160815,-0.6042902469306112
cs_dialogue,encoder,2,oracle_local,0.25,0.28842155290203764,0.527336860670194,0.5286596119929453,0.24755138639812388,59,189,903,0.93329300959129,79516,392987.3957672119,0.32384792392123324,-0.05731922398589068,-0.025960910117032,-0.021451234653055595
cs_dialogue,encoder,2,oracle_local,1.0,0.6540723578684726,0.7244268077601411,0.8121693121693122,0.6278107325148297,62,639,2757,0.8011751490538322,79516,1620292.6853027344,0.32384792392123324,-0.25440917107583777,-0.391611715083467,-0.4017105807697614
cs_dialogue,encoder,16,global,0.25,0.24849997029644152,0.4695767195767196,0.4722222222222222,0.21030486963719133,88,87,337,0.9760649788300354,245535,1188199.8801879883,1.0,0.00044091710758376035,0.013960672488564113,0.01579528210787695
cs_dialogue,encoder,16,global,1.0,1.0335650210895264,0.9991181657848325,1.027336860670194,1.0346944406124983,1,1201,12315,0.01875054005011665,245535,5085693.656982422,1.0,-0.5291005291005291,-0.7711043783045208,-0.80859428886743
cs_dialogue,encoder,16,oracle_local,0.25,0.2850353472345987,0.4894179894179894,0.4916225749559083,0.24955166229824804,80,124,811,0.9385638987298022,79516,387542.2566833496,0.32384792392123324,-0.019400352733686066,-0.022574704449593086,-0.02345151055317976
cs_dialogue,encoder,16,oracle_local,1.0,0.7636190815659716,0.828042328042328,0.8333333333333334,0.7516898882604497,17,829,5596,0.5671822345113626,79516,1628913.7767333984,0.32384792392123324,-0.35802469135802467,-0.501158438780966,-0.5255897365153814
cs_dialogue,encoder,21,global,0.25,0.31117447870254855,0.5873015873015873,0.58994708994709,0.26451924403365984,118,384,1305,0.9125550851118984,245535,1487612.7083129883,1.0,-0.11728395061728397,-0.048713835917542914,-0.038419092288591555
cs_dialogue,encoder,21,global,1.0,1.0011881423394522,1.0,1.0,1.0013795006207753,0,1202,12367,0.014343731098245917,245535,4465373.432373047,1.0,-0.5299823633156966,-0.7387274995544466,-0.775279348875707
cs_dialogue,encoder,21,oracle_local,0.25,0.28343135507633815,0.5383597883597884,0.5405643738977073,0.2400331080148986,60,215,537,0.9643998963103776,79516,480706.6075592041,0.32384792392123324,-0.06834215167548502,-0.020970712291332516,-0.013932956269830321
cs_dialogue,encoder,21,oracle_local,1.0,0.969583556110022,0.8289241622574955,0.8650793650793651,0.9858601186370534,4,818,5356,0.587056078804113,79516,1416122.9620056152,0.32384792392123324,-0.3589065255731922,-0.7071229133250163,-0.7597599668919851
cs_dialogue,decoder,24,global,0.25,0.24428206499138597,0.44312169312169314,0.4462081128747795,0.20947716926472618,101,40,436,0.9647455283850341,13167,28790.89456641674,,0.026895943562610214,0.01817857779361967,0.016622982480342108
cs_dialogue,decoder,24,global,1.0,1.1136458147686092,0.7279541446208113,2.2178130511463845,0.9399227479652366,136,721,10856,0.10973818370344768,22583,150538.06477069855,,-0.25793650793650796,-0.8511851719836037,-0.7138225962201683
cs_dialogue,decoder,24,oracle_local,0.25,0.24612368561753697,0.45811287477954143,0.46164021164021163,0.20899434404745482,42,15,63,0.995420375010801,1805,3838.986202597618,,0.011904761904761918,0.016336957167468663,0.017105807697613468
cs_dialogue,decoder,24,oracle_local,1.0,0.327392621636072,0.5260141093474426,0.5401234567901234,0.2908677058904677,158,285,1354,0.9008900025922406,1734,11342.657203674316,,-0.055996472663139285,-0.06493197885106639,-0.06476755414539939
cs_dialogue,decoder,27,global,0.25,0.27095586051208936,0.43033509700176364,0.43606701940035275,0.24203338391502277,124,34,614,0.9493649010628187,13293,40610.404900074005,,0.03968253968253971,-0.008495217727083726,-0.015933232169954487
cs_dialogue,decoder,27,global,1.0,1.0422978672845007,0.6305114638447972,1.6164021164021165,0.8938474272313423,198,562,9985,0.17419856562689018,27277,257637.23988437653,,-0.16049382716049382,-0.7798372244994951,-0.667747275486274
cs_dialogue,decoder,27,oracle_local,0.25,0.25687637378958,0.4638447971781305,0.4673721340388007,0.22058214926196718,45,31,122,0.9909271580402661,1816,5462.941555023193,,0.006172839506172867,0.005584268995425634,0.005518002483101109
cs_dialogue,decoder,27,oracle_local,1.0,0.2875898532644211,0.4122574955908289,0.4479717813051146,0.2585873913643261,245,114,968,0.9242201676315562,1776,16808.189737319946,,0.05776014109347444,-0.025129210479415465,-0.03248723961925784
seame_dev_man,decoder,0,global,0.25,0.3581151832460733,0.6565656565656566,0.6868686868686869,0.31690140845070425,3,0,,1.0,927,506.10622039437294,,0.030303030303030276,0.006282722513089034,0.0035211267605633756
seame_dev_man,decoder,0,global,1.0,0.8010471204188482,0.9090909090909091,0.9191919191919192,0.7863849765258216,1,23,,0.8141321044546851,1292,2297.6472039222717,,-0.2222222222222222,-0.43664921465968587,-0.465962441314554
seame_dev_man,decoder,0,oracle_local,0.25,0.36020942408376966,0.6565656565656566,0.6868686868686869,0.3192488262910798,3,0,,1.0,68,37.2943811416626,,0.030303030303030276,0.004188481675392652,0.0011737089201878104
seame_dev_man,decoder,0,oracle_local,1.0,0.36858638743455496,0.7373737373737373,0.7474747474747475,0.3215962441314554,0,5,,0.989247311827957,68,117.54557967185974,,-0.0505050505050505,-0.004188481675392652,-0.0011737089201877549
seame_dev_man,decoder,2,global,0.25,0.35916230366492147,0.6868686868686869,0.7171717171717171,0.3145539906103286,0,0,,0.9984639016897081,926,935.8590040802956,,0.0,0.005235602094240843,0.005868544600938996
