model,side,layer,direction,comparator,cosine,angle_deg,raw_l2,unit_l2_identity,a5_norm,comparator_norm,direction_hash
whisper,encoder,0,neg_shared,Raw,0.4155454627822557,65.44632843196099,1.081160983960487,1.081160983960487,1.0,1.0,sha256:b33fd3a15fdc227d61f4ced86cab16f1d5118ac098a583b105838c3456c2fc0b
whisper,encoder,0,pos_unique,Raw,0.07432498897047161,85.73756122944229,1.3606432418063137,1.3606432418063137,1.0,1.0,sha256:a80c587771c8d86f5b22030c010e3f587776a6ec592de49878ddec9520886238
whisper,encoder,0,unique_minus_shared,Raw,0.34639071795819654,69.73328650368315,1.1433365921255672,1.1433365921255672,1.0,1.0,sha256:635423bff00f532b4bc50029db395f7790b8d6deafc5991f195be794238488b5
whisper,encoder,1,neg_shared,Raw,0.6011334728186317,53.04888013850376,0.8931590306699699,0.8931590306699699,1.0,1.0,sha256:5d25ee178d76a5bf415f55508f5356ce1c7f3538385f6f43ec2fd183bae543f0
whisper,encoder,1,pos_unique,Raw,0.1364944031901309,82.15495713348953,1.3141579769161247,1.3141579769161247,1.0,1.0,sha256:2d418e8930495895b292b6372b5c9ab930c4282dcd740cf545f65ae0f57444a8
whisper,encoder,1,unique_minus_shared,Raw,0.5215816730384317,58.561593081919675,0.9781802721273994,0.9781802721273994,1.0,1.0,sha256:86ec589f0acb7c7069fbbb693c051b571f1d58400f7d6b5673bd6338822348bf
whisper,encoder,2,neg_shared,Raw,0.0061736316223218336,89.64627471678335,1.4098413891659602,1.4098413891659602,1.0,1.0,sha256:af24b7789d91af78172574b053f11e774343df7ee7eed53c99f2b66fdf9f22f3
whisper,encoder,2,pos_unique,Raw,0.5917620611256814,53.71785064153979,0.9035905469836336,0.9035905469836336,1.0,1.0,sha256:878970d561ea3442bbe20673d6d101158179edcbff376fcf59cf0835a8a8caab
whisper,encoder,2,unique_minus_shared,Raw,0.4228043839053463,64.98823299833651,1.0744260013161668,1.0744260013161668,1.0,1.0,sha256:1175548b929cfc3e32afaf91a2ef77a60479b18442378f298e1dfb4c31f070e0
whisper,encoder,3,neg_shared,Raw,0.021451547336991082,88.77082258973849,1.398962796510673,1.398962796510673,1.0,1.0,sha256:88194d493f59419c205cc3514c3dd1aff8cf919edcae5b575e38d0fe98eb4b9b
whisper,encoder,3,pos_unique,Raw,0.6169945198500184,51.9030109662647,0.8752205212566166,0.8752205212566166,1.0,1.0,sha256:924e53d7ac210db2239f7183fb174c6da9a2a8476dc27e27e31f48629bb8ff70
whisper,encoder,3,unique_minus_shared,Raw,0.4514495442767522,63.16327669647249,1.0474258468856,1.0474258468856,1.0,1.0,sha256:d62253c5862a002a87a7b82106172a25c10cd4a23562c2ba01f6259e4d5e69f6
whisper,encoder,4,neg_shared,Raw,-0.024613507650970506,91.4103925403191,1.4315121426970234,1.4315121426970234,1.0,1.0,sha256:afbc8621b07c1b85a9ac211a1fbf6eda3001a1f5939bda5203e27591ef196c84
whisper,encoder,4,pos_unique,Raw,0.6204957725217572,51.64765254558541,0.8712109118960888,0.8712109118960888,1.0,1.0,sha256:31da88a193b87fab69660f511c390aa247972421288e50cebcc40b9982cb2856
whisper,encoder,4,unique_minus_shared,Raw,0.4213523908810417,65.0800009425657,1.0757765637244925,1.0757765637244925,1.0,1.0,sha256:c8b308048cac2415aa5f4e2b984f59beab1c169eb934f143c96bb30926ed5964
whisper,encoder,5,neg_shared,Raw,0.02927545289417571,88.32240041589438,1.39335893167522,1.39335893167522,1.0,1.0,sha256:d6a489490ea7b23bc4ded0c264991ef8a39654b326d54f6925a9d38b0fc72730
whisper,encoder,5,pos_unique,Raw,0.6325869415258539,50.758758675663444,0.8572199925995952,0.8572199925995952,1.0,1.0,sha256:7c85ada9c5eba5bb457f3b82fa15b36058802413443e109bfa691260a0bcd877
whisper,encoder,5,unique_minus_shared,Raw,0.4680073872822449,62.09497071408293,1.031496598014407,1.031496598014407,1.0,1.0,sha256:bf8be4c061bd6ea8b0550944d35d80fa29a23d69c5b30909161a91997634cadb
whisper,encoder,6,neg_shared,Raw,0.06532024033889906,86.25475936087086,1.3672452181341384,1.3672452181341384,1.0,1.0000000000000002,sha256:5f11435e2d21a941b8995f082cd1d963efe8ba561a4c0cbf2d02bd1dce4f4e0a
whisper,encoder,6,pos_unique,Raw,0.6305544612529325,50.90895846195769,0.8595877373145766,0.8595877373145766,1.0,1.0000000000000002,sha256:fc65455615cbd5d05632b2be53ea06e6f562e945d57ed57e9959b824459c213d
whisper,encoder,6,unique_minus_shared,Raw,0.49205774937955754,60.52407856910901,1.0079109899447583,1.0079109899447583,0.9999999403953552,1.0000000000000002,sha256:e7bfb6cf6c4593e0eb864a9c1cf85173f63ddb2c617e5fcc3a8a6cc1d2f4fbae
whisper,encoder,7,neg_shared,Raw,0.04857245596879632,87.21590779592765,1.3794401294373857,1.3794401294373857,1.0,1.0000000000000002,sha256:c8d086a5b748a95de4faf4b7effebbb1a8d5b930cdc53fb210823661e44dc2bc
whisper,encoder,7,pos_unique,Raw,0.6514903216520478,49.345939795372736,0.8348768520802718,0.8348768520802718,1.0,1.0000000000000002,sha256:aaecf810f6bfe4f8002d2572410b322eda07e7380b716df85ae910bbbd5381e9
whisper,encoder,7,unique_minus_shared,Raw,0.495019168913295,60.32898563496117,1.004968511734214,1.004968511734214,0.9999999403953552,1.0000000000000002,sha256:c3642df3aada47d84fb17016db8c1a87704367bb33a912db4216334a94d73dae
whisper,encoder,8,neg_shared,Raw,0.05621689948504917,86.7773099338203,1.373887257440404,1.373887257440404,1.0,1.0,sha256:b455d9e5ed85c53752c823764833454cac52ef0841c67c604e8f9368444ab1f1
whisper,encoder,8,pos_unique,Raw,0.6509516108210345,49.386612269043226,0.8355218600649212,0.8355218600649212,1.0,1.0,sha256:bc7ab4138215305aaf691817443581f4725f626600c09a537433546c1355d9f7
whisper,encoder,8,unique_minus_shared,Raw,0.5000436483523232,59.99711220623756,0.9999563485266266,0.9999563485266266,1.0,1.0,sha256:79592c585c77f423d85a2a17e7ff8f005db3e8c417d878871b59864da605b570
whisper,encoder,9,neg_shared,Raw,0.046840258098342816,87.31526856752963,1.380695294517541,1.380695294517541,1.0,1.0,sha256:f83544f608c78622d7dcb47246bad774bdf9550db331505a4b6641aa1d7c8428
whisper,encoder,9,pos_unique,Raw,0.6544148194640695,49.12470665076626,0.8313665634418124,0.8313665634418124,1.0,1.0,sha256:f1358cd4819cdfcd70c982ed5acc546216352e1c8c802c9060d241a3d5c0e349
