model,side,layer,cos_unique_shared,cos_unique_raw,cos_shared_raw,cos_unique_conditioning,cos_shared_conditioning,i_unique,i_shared,sigma_unique,sigma_shared,energy_A_unique,energy_B_unique,energy_A_shared,energy_B_shared,count_a,count_b,direction_hash
whisper,encoder,0,5.551115123125783e-17,0.07432498853274246,-0.41554546318193414,,,30,0,0.9727620669571777,0.9999240168489948,2.0083192943205503,1.8245866229440213,280.25996291705445,299.24370734459217,14745,12639,sha256:a80c587771c8d86f5b22030c010e3f587776a6ec592de49878ddec9520886238
whisper,encoder,1,-3.122502256758253e-17,0.1364944028670811,-0.6011334726770948,,,31,0,0.982794559763776,0.9999607210593944,0.8148472448791292,0.7721400388566891,303.9100522398819,324.5928976155677,14745,12639,sha256:2d418e8930495895b292b6372b5c9ab930c4282dcd740cf545f65ae0f57444a8
whisper,encoder,2,-9.540979117872439e-18,0.5917620611452807,-0.0061736328206328656,,,0,4,0.9999619868545616,0.9982094592680943,312.76387978396644,333.4095997581027,1.2447058026143454,1.182840481720106,14745,12639,sha256:878970d561ea3442bbe20673d6d101158179edcbff376fcf59cf0835a8a8caab
whisper,encoder,3,5.0306980803327406e-17,0.6169945198430689,-0.021451548550725296,,,0,9,0.9999641100486119,0.9978365127085641,314.9479834753572,335.5950609099828,1.0664448596063982,1.0543280663518098,14745,12639,sha256:924e53d7ac210db2239f7183fb174c6da9a2a8476dc27e27e31f48629bb8ff70
whisper,encoder,4,-6.938893903907228e-18,0.6204957721788,0.024613507306611795,,,0,7,0.99997706989971,0.9981476319694425,325.11838639149966,346.07705997092614,1.004814521916205,0.9827102187538937,14745,12639,sha256:31da88a193b87fab69660f511c390aa247972421288e50cebcc40b9982cb2856
whisper,encoder,5,6.245004513516506e-17,0.6325869414143974,-0.029275451257766642,,,0,2,0.9999800613495086,0.9983624859036557,331.69623834940285,352.9319812227416,1.1434750757258643,1.1602867431951212,14745,12639,sha256:7c85ada9c5eba5bb457f3b82fa15b36058802413443e109bfa691260a0bcd877
whisper,encoder,6,6.938893903907228e-17,0.6305544608277713,-0.06532023826564348,,,0,3,0.9999811498139975,0.9982122590491427,334.57850635466986,355.95587142814617,0.9865433613216381,1.0548894883351922,14745,12639,sha256:fc65455615cbd5d05632b2be53ea06e6f562e945d57ed57e9959b824459c213d
whisper,encoder,7,3.469446951953614e-17,0.651490321122758,-0.04857245677448065,,,0,3,0.9999813186374912,0.9980579374784566,335.95884199365884,357.570935861268,1.4665647897751328,1.4845057889887618,14745,12639,sha256:aaecf810f6bfe4f8002d2572410b322eda07e7380b716df85ae910bbbd5381e9
whisper,encoder,8,0.0,0.6509516111073131,-0.05621689873698267,,,0,3,0.9999818599809613,0.9979867783742161,339.4556016342043,361.0231332047126,1.5759955669280235,1.5891535345361354,14745,12639,sha256:bc7ab4138215305aaf691817443581f4725f626600c09a537433546c1355d9f7
whisper,encoder,9,1.734723475976807e-17,0.6544148192263461,-0.04684025902623777,,,0,3,0.9999825797080653,0.997957827853693,342.9592946679897,364.556705270737,1.4653179083043306,1.488594029909055,14745,12639,sha256:f1358cd4819cdfcd70c982ed5acc546216352e1c8c802c9060d241a3d5c0e349
whisper,encoder,10,-3.8163916471489756e-17,0.6068843673787094,-0.02235249080545137,,,0,3,0.9999793771191904,0.9976528828713568,346.12808904914306,367.8471812223274,1.6750219316900947,1.7952903024384168,14745,12639,sha256:e9a1ff734288e6bb6a6516cfde5fcf6c1310cefc081d0bb06d5997c61cc33ae3
whisper,encoder,11,3.469446951953614e-18,0.6077639910611005,-0.100660466437812,,,0,3,0.9999781560289493,0.9973158801200741,348.17175006779235,370.09862479677975,1.5017146476349168,1.6615096796744395,14745,12639,sha256:e4a9dc57f0d91bde3155101f1798007fec5c44366e4aecf049cc2649e2c214d7
whisper,encoder,12,4.163336342344337e-17,0.6246979918119605,-0.09092004737803172,,,0,3,0.9999785804160191,0.9971004998316011,350.01324535273733,371.97896550176426,1.4257518826795055,1.5788226414451856,14745,12639,sha256:7bf85b4792b320266aeaf325741caed55bbdbe31ae36e1a97ae2f46632405ce6
whisper,encoder,13,-5.898059818321144e-17,0.6345005903460674,-0.07096971075656854,,,0,3,0.9999792679137695,0.9970489334224196,350.2464859448899,372.1161718419434,1.4040641732776917,1.5756439348687459,14745,12639,sha256:c0d4ac23773c238c0eae3f5a266639136913cac960b314fc08ae5414b48b14b8
whisper,encoder,14,5.377642775528102e-17,0.657527230532378,-0.06330956114728525,,,0,3,0.9999820642953585,0.9971834923582096,352.19047278761457,374.1017837947765,1.1152538823761078,1.2317996244465599,14745,12639,sha256:93f4100114aea64e68580e9f09293ee54ed6f8acf5a9d64bb37634c9550a207b
whisper,encoder,15,1.5178830414797062e-17,0.6265632476888842,-0.04092677816833187,,,0,3,0.999981253616612,0.9975315365086771,351.19099912225613,373.14965573530577,1.1667614456284081,1.2769934270540462,14745,12639,sha256:e2093ccaf7aa7785257beeb42d08ee3f7453c5309b7db4ff5f1ee70f3a52afd9
whisper,encoder,16,1.0408340855860843e-17,0.58495970064062,-0.06625200277109933,,,0,3,0.9999746097086373,0.9969693664139336,356.1491436426078,378.44588579261375,1.169344037642203,1.292088505743113,14745,12639,sha256:8a89d4aaeb4bdcf7f17869f55ec76b3b6035f151875eadb9fef6c95dc90edbf6
whisper,encoder,17,-2.3418766925686896e-17,0.5780975049320743,-0.0940072168510182,,,0,3,0.9999758985078014,0.9963649968917716,354.2880824850027,376.58230932943366,1.1322437036852084,1.2939285188316543,14745,12639,sha256:d09c558600ca4ff8a6bf6f03fc53c29e164d3a465217d77bff5bc6df1939cb9f
