branch,construction_source,model,dataset,side,layer,method,rho,decode_mode
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,0,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,0,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,0,raw,0.5,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,0,raw,0.5,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,0,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,0,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,0,raw,0.5,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,0,raw,0.5,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,0,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,0,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,0,raw,1.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,0,raw,1.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,0,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,0,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,0,raw,1.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,0,raw,1.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,0,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,0,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,0,raw,2.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,0,raw,2.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,0,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,0,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,0,raw,2.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,0,raw,2.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,0,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,0,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,0,raw,4.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,0,raw,4.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,0,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,0,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,0,raw,4.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,0,raw,4.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,0,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,0,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,0,raw,6.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,0,raw,6.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,0,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,0,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,0,raw,6.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,0,raw,6.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,1,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,1,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,1,raw,0.5,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,1,raw,0.5,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,1,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,1,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,1,raw,0.5,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,1,raw,0.5,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,1,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,1,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,1,raw,1.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,1,raw,1.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,1,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,1,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,1,raw,1.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,1,raw,1.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,1,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,1,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,1,raw,2.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,1,raw,2.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,1,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,1,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,1,raw,2.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,1,raw,2.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,1,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,1,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,1,raw,4.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,1,raw,4.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,1,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,1,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,1,raw,4.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,1,raw,4.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,1,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,1,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,1,raw,6.0,greedy
