direction,layer,rho,wer,mer,pier,en_wer,matrix_cer,corrections,corruptions,utility,outside_harm,embed_retention,matrix_retention,energy,utility_per_energy,edits,effective_dose,direction_hash,source
Conditioning,0,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,131.93758261203766,0.0,233,0.5606236749028277,sha256:a5c7d9e4a6c72926c95972311d3c232886d664fa17a81dac7abcff6809753a99,NEW
Conditioning,0,0.5,n/a — no frozen canonical overall WER,0.26666666666666666,0.6911764705882353,0.6911764705882353,0.11055276381909548,2,0,0.0,2,1.0,0.9887640449438202,259.74931049346924,0.0,233,1.1212473498056554,sha256:a5c7d9e4a6c72926c95972311d3c232886d664fa17a81dac7abcff6809753a99,NEW
Conditioning,0,1.0,n/a — no frozen canonical overall WER,1.0740740740740742,0.8382352941176471,0.8529411764705882,1.150753768844221,0,8,-59.0,53,0.5789473684210527,0.7134831460674157,1095.46508872509,-0.053858402798271386,556,2.242494699611311,sha256:a5c7d9e4a6c72926c95972311d3c232886d664fa17a81dac7abcff6809753a99,NEW
Conditioning,0,2.0,n/a — no frozen canonical overall WER,1.1037037037037036,0.9264705882352942,1.8529411764705883,0.8492462311557789,0,14,-162.0,157,0.2631578947368421,0.16853932584269662,2101.0189999341965,-0.07710544264715065,644,4.484989399222622,sha256:a5c7d9e4a6c72926c95972311d3c232886d664fa17a81dac7abcff6809753a99,NEW
Local+Cond,0,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,130.11549270153046,0.0,231,0.5606236749028277,sha256:ac505724329bfee8b201d43d3e8116396a8dc261aa725667d7ffb76957c372b2,NEW
Local+Cond,0,0.5,n/a — no frozen canonical overall WER,0.26666666666666666,0.6911764705882353,0.6911764705882353,0.11055276381909548,2,0,1.0,1,1.0,0.9943820224719101,257.99120116233826,0.003876101182887863,236,1.1212473498056554,sha256:ac505724329bfee8b201d43d3e8116396a8dc261aa725667d7ffb76957c372b2,NEW
Local+Cond,0,1.0,n/a — no frozen canonical overall WER,0.9333333333333333,0.75,1.8970588235294117,0.6030150753768844,2,4,-102.0,101,0.7894736842105263,0.43820224719101125,1068.001893877983,-0.09550544861828988,549,2.242494699611311,sha256:ac505724329bfee8b201d43d3e8116396a8dc261aa725667d7ffb76957c372b2,NEW
Local+Cond,0,2.0,n/a — no frozen canonical overall WER,0.9925925925925926,0.9705882352941176,1.161764705882353,0.9346733668341709,0,17,-182.0,176,0.10526315789473684,0.07303370786516854,107.22520518302917,-1.6973621052002952,41,4.484989399222622,sha256:ac505724329bfee8b201d43d3e8116396a8dc261aa725667d7ffb76957c372b2,NEW
Local,0,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,126.13803091645241,0.0,231,0.5606236749028277,sha256:cec75177aa9b65ab4296fffc86bdb45bbe771a01425643ba4cda3b3e3a23ecb1,NEW
Local,0,0.5,n/a — no frozen canonical overall WER,0.26296296296296295,0.6911764705882353,0.6911764705882353,0.10552763819095477,2,0,2.0,0,1.0,1.0,235.89988750219345,0.00847817275869368,230,1.1212473498056554,sha256:cec75177aa9b65ab4296fffc86bdb45bbe771a01425643ba4cda3b3e3a23ecb1,NEW
Local,0,1.0,n/a — no frozen canonical overall WER,1.5,0.9117647058823529,0.9411764705882353,1.6984924623115578,0,13,-100.0,94,0.3157894736842105,0.5112359550561798,1029.8642718791962,-0.0971001740040265,559,2.242494699611311,sha256:cec75177aa9b65ab4296fffc86bdb45bbe771a01425643ba4cda3b3e3a23ecb1,NEW
Local,0,2.0,n/a — no frozen canonical overall WER,2.0037037037037035,0.9852941176470589,0.9852941176470589,2.3668341708542715,0,18,-177.0,171,0.05263157894736842,0.10674157303370786,1076.622299194336,-0.16440305958036874,383,4.484989399222622,sha256:cec75177aa9b65ab4296fffc86bdb45bbe771a01425643ba4cda3b3e3a23ecb1,NEW
Raw+Cond,0,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,130.07153272628784,0.0,231,0.5606236749028277,sha256:15a10fd7f330711d77ccb77bbfd50f959db1e609f83dc373f7380ad1e98acdfb,NEW
Raw+Cond,0,0.5,n/a — no frozen canonical overall WER,0.26296296296296295,0.6911764705882353,0.6911764705882353,0.10552763819095477,2,0,2.0,0,1.0,1.0,256.6570454835892,0.007792499895070605,235,1.1212473498056554,sha256:15a10fd7f330711d77ccb77bbfd50f959db1e609f83dc373f7380ad1e98acdfb,NEW
